time_s,x,y,vx,vy
4200.0,-356472340.21538657,-4584523.41428095,13.171122075335226,-1091.4967326726714
4260.0,-356471544.30365,-4650013.145303884,13.359269058171405,-1091.494295664334
4320.0,-356470737.1031097,-4715502.729069379,13.547415534469089,-1091.4918240914515
4380.0,-356469918.6137962,-4780992.163503569,13.735561497094828,-1091.4893179541484
4440.0,-356469088.83574045,-4846481.44653259,13.923706938915217,-1091.486777252551
4500.0,-356468247.76897407,-4911970.576082591,14.111851852796882,-1091.4842019867876
4560.0,-356467395.41352886,-4977459.550079724,14.29999623160649,-1091.481592156988
4620.0,-356466531.76943713,-5042948.366450151,14.48814006821075,-1091.4789477632835
4680.0,-356465656.8367317,-5108437.023120043,14.676283355476407,-1091.4762688058076
4740.0,-356464770.6154456,-5173925.518015576,14.86442608627025,-1091.4735552846953
4800.0,-356463873.1056126,-5239413.849062936,15.052568253459103,-1091.4708072000835
4860.0,-356462964.3072666,-5304902.0141883185,15.24070984990984,-1091.4680245521106
4920.0,-356462044.2204421,-5370390.0113179255,15.428850868489366,-1091.465207340917
4980.0,-356461112.8451741,-5435877.8383779675,15.616991302064639,-1091.4623555666446
5040.0,-356460170.18149775,-5501365.493294665,15.805131143502654,-1091.4594692294372
5100.0,-356459216.22944885,-5566852.973994245,15.993270385670451,-1091.4565483294405
5160.0,-356458250.9890636,-5632340.278402945,16.181409021435112,-1091.4535928668015
5220.0,-356457274.4603786,-5697827.404447012,16.369547043663765,-1091.4506028416693
5280.0,-356456286.6434308,-5763314.3500526985,16.557684445223586,-1091.4475782541945
5340.0,-356455287.5382577,-5828801.113146271,16.745821218981792,-1091.4445191045297
5400.0,-356454277.1448972,-5894287.691654001,16.933957357805646,-1091.4414253928292
5460.0,-356453255.4633876,-5959774.0835021725,17.12209285456246,-1091.4382971192488
5520.0,-356452222.4937676,-6025260.286617077,17.310227702119594,-1091.4351342839464
5580.0,-356451178.2360765,-6090746.298925015,17.498361893344452,-1091.4319368870813
5640.0,-356450122.6903537,-6156232.118352299,17.68649542110449,-1091.4287049288146
5700.0,-356449055.8566393,-6221717.742825248,17.874628278267206,-1091.4254384093094
5760.0,-356447977.73497385,-6287203.170270194,18.062760457700158,-1091.4221373287303
5820.0,-356446888.3253981,-6352688.398613478,18.250891952270944,-1091.4188016872436
5880.0,-356445787.6279534,-6418173.425781449,18.439022754847215,-1091.4154314850175
5940.0,-356444675.6426815,-6483658.249700469,18.62715285829668,-1091.4120267222222
6000.0,-356443552.3696245,-6549142.868296908,18.815282255487084,-1091.408587399029
6060.0,-356442417.8088251,-6614627.2794971485,19.003410939286237,-1091.4051135156114
6120.0,-356441271.9603262,-6680111.481227581,19.191538902561998,-1091.4016050721445
6180.0,-356440114.8241713,-6745595.471414609,19.379666138182277,-1091.3980620688053
6240.0,-356438946.4004043,-6811079.247984644,19.567792639015035,-1091.3944845057722
6300.0,-356437766.68906945,-6876562.808864111,19.755918397928294,-1091.3908723832255
6360.0,-356436575.69021153,-6942046.151979445,19.944043407790126,-1091.3872257013475
6420.0,-356435373.40387565,-7007529.27525709,20.132167661468657,-1091.383544460322
6480.0,-356434159.8301074,-7073012.176623504,20.320291151832073,-1091.3798286603344
6540.0,-356432934.96895283,-7138494.854005154,20.50841387174861,-1091.376078301572
6600.0,-356431698.82045835,-7203977.305328521,20.696535814086563,-1091.3722933842241
6660.0,-356430451.38467085,-7269459.528520093,20.884656971714286,-1091.3684739084813
6720.0,-356429192.6616376,-7334941.521506375,21.072777337500188,-1091.3646198745362
6780.0,-356427922.65140635,-7400423.282213878,21.260896904312737,-1091.3607312825832
6840.0,-356426641.35402524,-7465904.808569129,21.44901566502046,-1091.3568081328183
