time_s,x,y,vx,vy
1166040.0,-407061446.0437922,7266517.06915648,-18.768470213289532,-956.1431529935509
1166100.0,-407062572.15200496,7209148.479976867,-18.624215586383794,-956.1457281052911
1166160.0,-407063689.6049401,7151779.73629055,-18.479960673124946,-956.1482828847276
1166220.0,-407064798.4025805,7094410.839317466,-18.335705475975168,-956.1508173318477
1166280.0,-407065898.54490906,7037041.790277556,-18.19144999739663,-956.1533314466395
1166340.0,-407066990.0319089,6979672.590390758,-18.047194239851507,-956.1558252290909
1166400.0,-407068072.8635633,6922303.240877012,-17.902938205801956,-956.15829867919
1166460.0,-407069147.03985566,6864933.74295626,-17.758681897710137,-956.1607517969253
1166520.0,-407070212.5607695,6807564.097848444,-17.614425318038197,-956.1631845822853
1166580.0,-407071269.4262886,6750194.306773507,-17.470168469248286,-956.1655970352588
1166640.0,-407072317.63639677,6692824.370951392,-17.32591135380254,-956.1679891558346
1166700.0,-407073357.191078,6635454.291602042,-17.181653974163094,-956.1703609440017
1166760.0,-407074388.0903165,6578084.0699454015,-17.037396332792078,-956.1727123997495
1166820.0,-407075410.33409643,6520713.707201417,-16.893138432151616,-956.1750435230673
1166880.0,-407076423.9224024,6463343.204590033,-16.748880274703826,-956.1773543139448
1166940.0,-407077428.8552189,6405972.563331196,-16.604621862910818,-956.1796447723717
1167000.0,-407078425.1325307,6348601.784644853,-16.460363199234703,-956.181914898338
1167060.0,-407079412.75432265,6291230.869750953,-16.31610428613758,-956.1841646918339
1167120.0,-407080391.7205798,6233859.819869443,-16.171845126081546,-956.1863941528495
1167180.0,-407081362.0312874,6176488.636220272,-16.027585721528695,-956.1886032813754
1167240.0,-407082323.6864307,6119117.3200233895,-15.88332607494111,-956.1907920774023
1167300.0,-407083276.68599516,6061745.872498745,-15.739066188780873,-956.1929605409209
1167360.0,-407084221.0299665,6004374.29486629,-15.594806065510058,-956.1951086719223
1167420.0,-407085156.7183304,5947002.588345975,-15.450545707590736,-956.1972364703977
1167480.0,-407086083.7510728,5889630.754157751,-15.306285117484972,-956.1993439363384
1167540.0,-407087002.12817985,5832258.793521571,-15.162024297654826,-956.201431069736
1167600.0,-407087911.8496377,5774886.707657387,-15.017763250562354,-956.2034978705822
1167660.0,-407088812.9154327,5717514.497785152,-14.873501978669603,-956.2055443388688
1167720.0,-407089705.3255514,5660142.16512482,-14.72924048443862,-956.207570474588
1167780.0,-407090589.07998043,5602769.710896344,-14.584978770331443,-956.209576277732
1167840.0,-407091464.17870665,5545397.13631968,-14.440716838810106,-956.2115617482932
1167900.0,-407092330.621717,5488024.442614783,-14.296454692336638,-956.2135268862643
1167960.0,-407093188.4089985,5430651.631001607,-14.152192333373065,-956.2154716916378
1168020.0,-407094037.5405385,5373278.702700108,-14.007929764381407,-956.217396164407
1168080.0,-407094878.01632434,5315905.658930244,-13.863666987823676,-956.2193003045647
1168140.0,-407095709.8363436,5258532.50091197,-13.719404006161882,-956.2211841121044
1168200.0,-407096533.00058395,5201159.229865244,-13.575140821858033,-956.2230475870196
1168260.0,-407097347.50903326,5143785.847010022,-13.430877437374125,-956.2248907293038
1168320.0,-407098153.3616795,5086412.353566264,-13.286613855172154,-956.2267135389509
1168380.0,-407098950.5585108,5029038.750753927,-13.142350077714113,-956.2285160159549
1168440.0,-407099739.09951544,4971665.03979297,-12.998086107461985,-956.2302981603101
1168500.0,-407100518.9846819,4914291.221903351,-12.85382194687775,-956.2320599720107
1168560.0,-407101290.21399873,4856917.298305031,-12.709557598423384,-956.2338014510514
1168620.0,-407102052.78745466,4799543.270217968,-12.56529306456086,-956.2355225974267
1168680.0,-407102806.70503855,4742169.138862123,-12.421028347752143,-956.2372234111316
1168740.0,-407103551.9667394,4684794.905457455,-12.276763450459196,-956.2389038921611
1168800.0,-407104288.5725464,4627420.571223925,-12.132498375143975,-956.2405640405107
1168860.0,-407105016.52244896,4570046.137381494,-11.988233124268433,-956.2422038561755
1168920.0,-407105735.8164364,4512671.605150123,-11.843967700294519,-956.2438233391512
1168980.0,-407106446.4544984,4455296.975749774,-11.699702105684175,-956.2454224894335
1169040.0,-407107148.43662477,4397922.250400408,-11.55543634289934,-956.2470013070185
1169100.0,-407107841.76280534,4340547.430321987,-11.41117041440195,-956.2485597919023
1169160.0,-407108526.4330302,4283172.5167344725,-11.266904322653932,-956.2500979440811
1169220.0,-407109202.4472895,4225797.510857828,-11.122638070117215,-956.2516157635514
1169280.0,-407109869.80557376,4168422.413912015,-10.97837165925372,-956.2531132503099
1169340.0,-407110528.5078733,4111047.2271169964,-10.834105092525359,-956.2545904043534
1169400.0,-407111178.55417883,4053671.9516927353,-10.689838372394048,-956.2560472256789
1169460.0,-407111819.9444812,3996296.5888591944,-10.545571501321694,-956.2574837142836
1169520.0,-407112452.67877126,3938921.1398363374,-10.4013044817702,-956.2588998701648
1169580.0,-407113076.75704014,3881545.6058441275,-10.257037316201467,-956.26029569332
1169640.0,-407113692.1792791,3824169.9881025283,-10.112770007077389,-956.261671183747
1169700.0,-407114298.9454795,3766794.2878315034,-9.968502556859855,-956.2630263414437
1169760.0,-407114897.05563295,3709418.5062510166,-9.824234968010755,-956.2643611664081
1169820.0,-407115486.50973105,3652042.644581032,-9.679967242991967,-956.2656756586384
1169880.0,-407116067.30776566,3594666.7040415136,-9.535699384265373,-956.2669698181331
1169940.0,-407116639.4497287,3537290.6858524256,-9.391431394292844,-956.2682436448908
1170000.0,-407117202.9356124,3479914.591233732,-9.247163275536252,-956.2694971389102
1170060.0,-407117757.76540893,3422538.4214053974,-9.10289503045746,-956.2707303001903
1170120.0,-407118303.93911076,3365162.1775873858,-8.958626661518332,-956.2719431287301
1170180.0,-407118841.45671046,3307785.860999662,-8.814358171180725,-956.273135624529
1170240.0,-407119370.3182007,3250409.47286219,-8.670089561906492,-956.2743077875864
1170300.0,-407119890.5235744,3193033.0143949348,-8.525820836157482,-956.275459617902
1170360.0,-407120402.0728246,3135656.4868178605,-8.38155199639554,-956.2765911154756
1170420.0,-407120904.9659444,3078279.891350932,-8.23728304508251,-956.2777022803073
1170480.0,-407121399.2029271,3020903.2292141137,-8.093013984680226,-956.2787931123971
