time_s,x,y,vx,vy
2940.0,-59266156.9646404,-61703401.97282024,-489.7516879878039,-2717.1868375302133
3000.0,-59295474.34453802,-61866362.53128304,-487.4959407071152,-2714.8326381573515
3060.0,-59324656.67276774,-62029181.99248308,-485.2499554266812,-2712.4835927868735
3120.0,-59353704.533201076,-62191860.66518356,-483.0136706144063,-2710.1396855254707
3180.0,-59382618.50603283,-62354398.85719488,-480.7870252448602,-2707.800900505887
3240.0,-59411399.16781136,-62516796.875376195,-478.569958794183,-2705.4672218876076
3300.0,-59440047.09146849,-62679055.02563705,-476.3624112350496,-2703.138633857525
3360.0,-59468562.84634921,-62841173.61293905,-474.16432303169387,-2700.8151206305897
3420.0,-59496946.99824097,-63003152.941297546,-471.9756351349905,-2698.496666450441
3480.0,-59525200.10940275,-63164993.313783385,-469.79628897759477,-2696.183255590017
3540.0,-59553322.73859383,-63326695.03252468,-467.62622646913866,-2693.8748723521526
3600.0,-59581315.441102244,-63488258.39870864,-465.4653899914834,-2691.5715010701556
3660.0,-59609178.768773,-63649683.712583385,-463.313722394027,-2689.2731261083677
3720.0,-59636913.27003597,-63810971.273459844,-461.17116698906653,-2686.9797318627097
3780.0,-59664519.48993355,-63972121.37971367,-459.03766754721386,-2684.691302761208
3840.0,-59691997.970148,-64133134.32878716,-456.9131682928648,-2682.407823264509
3900.0,-59719349.24902854,-64294010.41719126,-454.79761389972055,-2680.129277866373
3960.0,-59746573.86161819,-64454749.94050752,-452.6909494863611,-2677.8556510941603
4020.0,-59773672.33968032,-64615353.193390176,-450.59312061186927,-2675.5869275092946
4080.0,-59800645.211724944,-64775820.46956817,-448.5040732715053,-2673.323091707717
4140.0,-59827493.003034785,-64936152.061847255,-446.4237538924315,-2671.0641283203245
4200.0,-59854216.235691026,-65096348.26211209,-444.3521093294852,-2668.810022013394
4260.0,-59880815.42859889,-65256409.36132838,-442.28908686100107,-2666.560757488993
4320.0,-59907291.09751288,-65416335.64954504,-440.23463418468066,-2664.3163194853805
4380.0,-59933643.75506185,-65576127.41589639,-438.1886994135091,-2662.0766927773866
4440.0,-59959873.91077379,-65735784.94860433,-436.1512310717187,-2659.841862176789
4500.0,-59985982.071100384,-65895308.53498059,-434.1221780907984,-2657.611812532672
4560.0,-60011968.73944132,-66054698.46142896,-432.10148980554834,-2655.386528731772
4620.0,-60037834.41616838,-66213955.013447605,-430.08911595017963,-2653.165995698817
4680.0,-60063579.59864927,-66373078.47563129,-428.08500665445814,-2650.9501983968466
4740.0,-60089204.78127128,-66532069.13167372,-426.0891124398919,-2648.7391218275293
4800.0,-60114710.455464624,-66690927.2643699,-424.10138421596156,-2646.5327510314614
4860.0,-60140097.10972565,-66849653.1556184,-422.12177327639364,-2644.33107108846
4920.0,-60165365.22963974,-67008247.0864238,-420.15023129547546,-2642.134067117841
4980.0,-60190515.29790408,-67166709.33689901,-418.1867103244116,-2639.941724278692
5040.0,-60215547.79435015,-67325040.18626769,-416.23116278772136,-2637.754027770131
5100.0,-60240463.19596598,-67483239.91286665,-414.2835414796767,-2635.570962831556
5160.0,-60265261.976918295,-67641308.7941483,-412.34379956077987,-2633.3925147428863
5220.0,-60289944.60857433,-67799247.10668303,-410.4118905542803,-2631.2186688247934
5280.0,-60314511.55952352,-67957055.12616174,-408.487768342731,-2629.049410438922
5340.0,-60338963.295598954,-68114733.12739822,-406.57138716458235,-2626.8847249881037
5400.0,-60363300.2798986,-68272281.38433172,-404.6627016108148,-2624.7245979165596
5460.0,-60387522.97280639,-68429700.17002933,-402.7616666216083,-2622.569014710097
5520.0,-60411631.832013056,-68586989.7566886,-400.8682374830489,-2620.4179608962936
5580.0,-60435627.3125368,-68744150.41563994,-398.9823698238719,-2618.271422044679
5640.0,-60459509.866743736,-68901182.41734923,-397.10401961224085,-2616.129383766904
5700.0,-60483279.94436818,-69058086.03142032,-395.2331431525622,-2613.991831716901
5760.0,-60506937.992532715,-69214861.52659754,-393.3696970823352,-2611.8587515910413
5820.0,-60530484.45576809,-69371509.1707683,-391.5136383690363,-2609.730129128282
5880.0,-60553919.776032925,-69528029.23096563,-389.6649243070376,-2607.6059501103045
5940.0,-60577244.39273323,-69684421.97337073,-387.82351251455964,-2605.4862003616486
6000.0,-60600458.742741756,-69840687.66331556,-385.9893609306572,-2603.370865749837
6060.0,-60623563.26041714,-69996826.56528546,-384.1624278122381,-2601.259932185494
6120.0,-60646558.3776229,-70152838.94292165,-382.3426717311146,-2599.1533856224596
6180.0,-60669444.52374624,-70308725.05902392,-380.5300515710872,-2597.0512120578924
6240.0,-60692222.12571666,-70464485.17555317,-378.7245265250597,-2594.9533975323693
6300.0,-60714891.608024456,-70620119.55363406,-376.926056092186,-2592.8599281299785
6360.0,-60737453.39273899,-70775628.45355758,-375.13460007504796,-2590.7707899784064
6420.0,-60759907.899526805,-70931012.1347837,-373.3501185768633,-2588.685969249018
6480.0,-60782255.545669585,-71086270.855944,-371.57257199872436,-2586.6054521569317
6540.0,-60804496.746081956,-71241404.87484424,-369.80192103686636,-2584.5292249610875
6600.0,-60826631.913329095,-71396414.44846708,-368.0381266799651,-2582.457273964312
6660.0,-60848661.45764422,-71551299.83297464,-366.281150206464,-2580.389585513376
6720.0,-60870585.78694586,-71706061.28371118,-364.53095318192976,-2578.326145999046
6780.0,-60892405.30685504,-71860699.05520572,-362.7874974564361,-2576.2669418561327
6840.0,-60914120.42071226,-72015213.4011747,-361.0507451619763,-2574.2119595635345
6900.0,-60935731.52959435,-72169604.57452458,-359.3206587099028,-2572.161185644273
6960.0,-60957239.032331094,-72323872.82735458,-357.5972007883942,-2570.114606665526
7020.0,-60978643.32552185,-72478018.41095924,-355.88033435995,-2568.0722092386577
7080.0,-60999944.803551875,-72632041.57583113,-354.1700226589109,-2566.0339800192387
7140.0,-61021143.85860859,-72785942.57166345,-352.4662291890066,-2563.999905707067
7200.0,-61042240.88069765,-72939721.64735276,-350.7689177209288,-2561.9699730461816
7260.0,-61063236.257658914,-73093379.05100153,-349.0780522899306,-2559.9441688248735
7320.0,-61084130.37518221,-73246915.02992094,-347.3935971934509,-2557.92247987569
7380.0,-61104923.61682305,-73400329.83063336,-345.7155169887639,-2555.904893075438
7440.0,-61125616.36401808,-73553623.69887514,-344.04377649065407,-2553.8913953451815
7500.0,-61146208.996100545,-73706796.87959923,-342.3783407691146,-2551.8819736502355
7560.0,-61166701.890315466,-73859849.61697781,-340.7191751470709,-2549.876615000156
7620.0,-61187095.42183477,-74012782.15440497,-339.06624519812794,-2547.8753064487264
7680.0,-61207389.96377226,-74165594.73449934,-337.4195167443407,-2545.878035093941
7740.0,-61227585.88719848,-74318287.59910676,-335.77895585400853,-2543.8847880779836
7800.0,-61247683.561155386,-74470860.98930293,-334.1445288394925,-2541.895552587204
7860.0,-61267683.35267095,-74623315.14539607,-332.51620225505536,-2539.9103158520898
7920.0,-61287585.62677361,-74775650.30692951,-330.8939428947241,-2537.929065147237
7980.0,-61307390.74650658,-74927866.71268444,-329.27771779017485,-2535.9517877913145
8040.0,-61327099.07294205,-75079964.60068242,-327.66749420863994,-2533.9784711470284
8100.0,-61346710.96519525,-75231944.20818816,-326.0632396508362,-2532.0091026210807
8160.0,-61366226.78043843,-75383805.77171205,-324.4649218489152,-2530.043669664128
8220.0,-61385646.873914644,-75535549.52701284,-322.87250876443466,-2528.082159770734
8280.0,-61404971.598951474,-75687175.70910029,-321.2859685863506,-2526.124560479322
8340.0,-61424201.30697461,-75838684.55223776,-319.7052697290303,-2524.170859372123
8400.0,-61443336.34752132,-75990076.28994487,-318.1303808302861,-2522.2210440751205
8460.0,-61462377.0682538,-76141351.15500009,-316.5612707494287,-2520.2751022579973
8520.0,-61481323.81497239,-76292509.3794434,-314.9979085653412,-2518.3330216340723
8580.0,-61500176.93162872,-76443551.19457889,-313.4402635745727,-2516.3947899602417
8640.0,-61518936.76033867,-76594476.83097735,-311.888305289451,-2514.4603950369133
8700.0,-61537603.641395316,-76745286.51847892,-310.3420034362152,-2512.5298247079413
8760.0,-61556177.91328165,-76895980.48619564,-308.8013279531669,-2510.603066860557
8820.0,-61574659.9126833,-77046558.96251412,-307.2662489888408,-2508.6801094252987
8880.0,-61593049.974501066,-77197022.17509808,-305.7367369001933,-2506.7609403759375
8940.0,-61611348.43186336,-77347370.35089096,-304.21276225081004,-2504.8455477294037
